cc_p20,cc_p40,cc_p60,cc_p80,cc_default,date,x,y,cc_p20_perc,cc_p40_perc,cc_p60_perc,cc_p80_perc,cc_default_perc
6544,3345,2282,1373,3939,2016-12-22,1536,1024,2.5,1.3,0.9,0.5,1.5
153575,128580,116580,103725,137716,2017-01-01,1536,1024,58.6,49.0,44.5,39.6,52.5
90259,64761,50951,33642,74579,2017-01-11,1536,1024,34.4,24.7,19.4,12.8,28.4
65297,49758,41128,33783,56316,2017-02-10,1536,1024,24.9,19.0,15.7,12.9,21.5
259716,243897,227199,209770,249936,2017-02-20,1536,1024,99.1,93.0,86.7,80.0,95.3
63111,42913,36667,30228,46377,2017-03-02,1536,1024,24.1,16.4,14.0,11.5,17.7
19121,11574,7662,4196,14731,2017-03-12,1536,1024,7.3,4.4,2.9,1.6,5.6
756,176,29,0,229,2017-04-01,1536,1024,0.3,0.1,0.0,0.0,0.1
2269,532,242,2,570,2017-04-11,1536,1024,0.9,0.2,0.1,0.0,0.2
221823,185565,163828,133706,196235,2017-05-01,1536,1024,84.6,70.8,62.5,51.0,74.9
1567,481,48,1,628,2017-05-11,1536,1024,0.6,0.2,0.0,0.0,0.2
25600,16712,13076,8406,20322,2017-05-21,1536,1024,9.8,6.4,5.0,3.2,7.8
260947,257956,253274,243810,261069,2017-05-31,1536,1024,99.5,98.4,96.6,93.0,99.6
2131,426,86,0,520,2017-06-20,1536,1024,0.8,0.2,0.0,0.0,0.2
152200,91256,75768,58404,102868,2017-07-10,1536,1024,58.1,34.8,28.9,22.3,39.2
2238,130,3,0,0,2017-07-20,1536,1024,0.9,0.0,0.0,0.0,0.0
5619,672,224,66,847,2017-07-30,1536,1024,2.1,0.3,0.1,0.0,0.3
5802,2144,1178,605,2799,2017-08-09,1536,1024,2.2,0.8,0.4,0.2,1.1
273,5,0,0,0,2017-08-19,1536,1024,0.1,0.0,0.0,0.0,0.0
391,5,0,0,0,2017-09-08,1536,1024,0.1,0.0,0.0,0.0,0.0
45614,30756,25675,21068,34780,2017-09-18,1536,1024,17.4,11.7,9.8,8.0,13.3
24983,12894,8776,5779,,2016-12-22,1536,1536,9.5,4.9,3.3,2.2,
97649,51506,40603,31895,,2017-01-01,1536,1536,37.3,19.6,15.5,12.2,
89716,52985,37537,20303,,2017-01-11,1536,1536,34.2,20.2,14.3,7.7,
72134,48821,39218,31630,,2017-02-10,1536,1536,27.5,18.6,15.0,12.1,
151477,101809,88032,75660,,2017-02-20,1536,1536,57.8,38.8,33.6,28.9,
190129,155151,136095,116070,,2017-03-02,1536,1536,72.5,59.2,51.9,44.3,
18658,9103,5990,3870,,2017-03-12,1536,1536,7.1,3.5,2.3,1.5,
6268,2032,362,0,,2017-04-01,1536,1536,2.4,0.8,0.1,0.0,
16344,6150,2931,165,,2017-04-11,1536,1536,6.2,2.3,1.1,0.1,
170380,128450,107445,80940,,2017-05-01,1536,1536,65.0,49.0,41.0,30.9,
9252,3136,906,65,,2017-05-11,1536,1536,3.5,1.2,0.3,0.0,
54982,12197,6305,3032,,2017-05-21,1536,1536,21.0,4.7,2.4,1.2,
261793,261302,260749,259811,,2017-05-31,1536,1536,99.9,99.7,99.5,99.1,
8557,1104,48,0,,2017-06-20,1536,1536,3.3,0.4,0.0,0.0,
195612,102065,74149,52838,,2017-07-10,1536,1536,74.6,38.9,28.3,20.2,
10763,1265,36,0,,2017-07-20,1536,1536,4.1,0.5,0.0,0.0,
58813,26087,17565,12263,,2017-07-30,1536,1536,22.4,10.0,6.7,4.7,
3239,684,112,1,,2017-08-09,1536,1536,1.2,0.3,0.0,0.0,
1995,118,8,1,,2017-08-19,1536,1536,0.8,0.0,0.0,0.0,
1524,33,6,2,,2017-09-08,1536,1536,0.6,0.0,0.0,0.0,
55539,32612,24890,19160,,2017-09-18,1536,1536,21.2,12.4,9.5,7.3,
174585,128867,112946,98854,,2017-09-28,1536,1536,66.6,49.2,43.1,37.7,
39485,24868,19220,14461,,2017-10-08,1536,1536,15.1,9.5,7.3,5.5,
2332,315,15,0,,2017-10-28,1536,1536,0.9,0.1,0.0,0.0,
67789,47166,40195,31446,,2017-11-07,1536,1536,25.9,18.0,15.3,12.0,
181044,144335,130696,119635,,2017-11-17,1536,1536,69.1,55.1,49.9,45.6,
173638,126027,113531,104228,,2017-11-27,1536,1536,66.2,48.1,43.3,39.8,
256486,254728,253328,251375,,2017-12-07,1536,1536,97.8,97.2,96.6,95.9,
238174,208095,190478,174222,,2017-12-17,1536,1536,90.9,79.4,72.7,66.5,
73758,53003,46137,39346,,2017-12-27,1536,1536,28.1,20.2,17.6,15.0,
184359,113035,77288,51731,,2018-01-06,1536,1536,70.3,43.1,29.5,19.7,
211885,165401,150469,139182,,2018-01-26,1536,1536,80.8,63.1,57.4,53.1,
121350,74212,54659,34770,,2018-02-15,1536,1536,46.3,28.3,20.9,13.3,
9772,3148,913,17,,2018-03-17,1536,1536,3.7,1.2,0.3,0.0,
241061,181196,148005,122573,,2018-04-16,1536,1536,92.0,69.1,56.5,46.8,
5943,1690,535,3,,2018-04-26,1536,1536,2.3,0.6,0.2,0.0,
207810,171003,144422,111095,,2018-05-06,1536,1536,79.3,65.2,55.1,42.4,
16912,4574,2603,1072,,2018-05-26,1536,1536,6.5,1.7,1.0,0.4,
4610,280,11,0,,2018-06-05,1536,1536,1.8,0.1,0.0,0.0,
6222,609,265,79,,2018-06-15,1536,1536,2.4,0.2,0.1,0.0,
229965,198905,172974,141387,,2018-06-25,1536,1536,87.7,75.9,66.0,53.9,
16616,10077,8077,5884,,2018-07-05,1536,1536,6.3,3.8,3.1,2.2,
1420,14,1,0,,2018-07-15,1536,1536,0.5,0.0,0.0,0.0,
2169,87,6,0,,2018-07-25,1536,1536,0.8,0.0,0.0,0.0,
34877,16329,10849,6230,,2018-08-04,1536,1536,13.3,6.2,4.1,2.4,
4011,322,8,0,,2018-08-14,1536,1536,1.5,0.1,0.0,0.0,
5215,1208,372,78,,2018-08-24,1536,1536,2.0,0.5,0.1,0.0,
