cc_p20,cc_p40,cc_p60,cc_p80,cc_default,date,x,y,cc_p20_perc,cc_p40_perc,cc_p60_perc,cc_p80_perc,cc_default_perc,harvested,ndvi
6544,3345,2282,1373,3939,2016-12-22,1536,1024,2.5,1.3,0.9,0.5,1.5,1338,0.3762551416807288
153575,128580,116580,103725,137716,2017-01-01,1536,1024,58.6,49.0,44.5,39.6,52.5,2927,0.3200484238121318
90259,64761,50951,33642,74579,2017-01-11,1536,1024,34.4,24.7,19.4,12.8,28.4,386,0.3869965746745663
65297,49758,41128,33783,56316,2017-02-10,1536,1024,24.9,19.0,15.7,12.9,21.5,30,0.5332776847663561
259716,243897,227199,209770,249936,2017-02-20,1536,1024,99.1,93.0,86.7,80.0,95.3,227,0.4329362838686184
63111,42913,36667,30228,46377,2017-03-02,1536,1024,24.1,16.4,14.0,11.5,17.7,229,0.4916307841291514
19121,11574,7662,4196,14731,2017-03-12,1536,1024,7.3,4.4,2.9,1.6,5.6,302,0.5813757239996382
756,176,29,0,229,2017-04-01,1536,1024,0.3,0.1,0.0,0.0,0.1,707,0.5458692407144178
2269,532,242,2,570,2017-04-11,1536,1024,0.9,0.2,0.1,0.0,0.2,354,0.5361739069005409
221823,185565,163828,133706,196235,2017-05-01,1536,1024,84.6,70.8,62.5,51.0,74.9,838,0.21252617073901192
1567,481,48,1,628,2017-05-11,1536,1024,0.6,0.2,0.0,0.0,0.2,1065,0.502146133511886
25600,16712,13076,8406,20322,2017-05-21,1536,1024,9.8,6.4,5.0,3.2,7.8,282,0.4367572963692167
260947,257956,253274,243810,261069,2017-05-31,1536,1024,99.5,98.4,96.6,93.0,99.6,1530,0.2327680553868393
2131,426,86,0,520,2017-06-20,1536,1024,0.8,0.2,0.0,0.0,0.2,1088,0.47475456335188
152200,91256,75768,58404,102868,2017-07-10,1536,1024,58.1,34.8,28.9,22.3,39.2,1136,0.34955218228519025
2238,130,3,0,0,2017-07-20,1536,1024,0.9,0.0,0.0,0.0,0.0,0,
5619,672,224,66,847,2017-07-30,1536,1024,2.1,0.3,0.1,0.0,0.3,3840,0.3596563470099342
5802,2144,1178,605,2799,2017-08-09,1536,1024,2.2,0.8,0.4,0.2,1.1,4678,0.33890738172546786
273,5,0,0,0,2017-08-19,1536,1024,0.1,0.0,0.0,0.0,0.0,5049,0.32478270451210384
391,5,0,0,0,2017-09-08,1536,1024,0.1,0.0,0.0,0.0,0.0,7554,0.27915232190347805
45614,30756,25675,21068,34780,2017-09-18,1536,1024,17.4,11.7,9.8,8.0,13.3,8132,0.2486909733364797
24983,12894,8776,5779,,2016-12-22,1536,1536,9.5,4.9,3.3,2.2,,379,0.4194330706509859
97649,51506,40603,31895,,2017-01-01,1536,1536,37.3,19.6,15.5,12.2,,347,0.3543339990589892
89716,52985,37537,20303,,2017-01-11,1536,1536,34.2,20.2,14.3,7.7,,132,0.4350853886724669
72134,48821,39218,31630,,2017-02-10,1536,1536,27.5,18.6,15.0,12.1,,6,0.4959217460516604
151477,101809,88032,75660,,2017-02-20,1536,1536,57.8,38.8,33.6,28.9,,172,0.4648502824457182
