harvested,date,x,y
1338,2016-12-22,1536,1024
2927,2017-01-01,1536,1024
386,2017-01-11,1536,1024
30,2017-02-10,1536,1024
227,2017-02-20,1536,1024
229,2017-03-02,1536,1024
302,2017-03-12,1536,1024
707,2017-04-01,1536,1024
354,2017-04-11,1536,1024
838,2017-05-01,1536,1024
1065,2017-05-11,1536,1024
282,2017-05-21,1536,1024
1530,2017-05-31,1536,1024
1088,2017-06-20,1536,1024
1136,2017-07-10,1536,1024
0,2017-07-20,1536,1024
3840,2017-07-30,1536,1024
4678,2017-08-09,1536,1024
5049,2017-08-19,1536,1024
7554,2017-09-08,1536,1024
8132,2017-09-18,1536,1024
4671,2017-09-28,1536,1024
6073,2017-10-08,1536,1024
2620,2017-10-28,1536,1024
1732,2017-11-07,1536,1024
967,2017-11-17,1536,1024
2338,2017-11-27,1536,1024
84,2017-12-07,1536,1024
1326,2017-12-17,1536,1024
971,2017-12-27,1536,1024
274,2018-01-06,1536,1024
1420,2018-01-26,1536,1024
1408,2018-02-15,1536,1024
429,2018-03-17,1536,1024
12,2018-04-16,1536,1024
378,2018-04-26,1536,1024
358,2018-05-06,1536,1024
727,2018-05-26,1536,1024
983,2018-06-05,1536,1024
1024,2018-06-15,1536,1024
3153,2018-06-25,1536,1024
1807,2018-07-05,1536,1024
2515,2018-07-15,1536,1024
3918,2018-07-25,1536,1024
3915,2018-08-04,1536,1024
5723,2018-08-14,1536,1024
6189,2018-08-24,1536,1024
6890,2018-09-03,1536,1024
11058,2018-09-13,1536,1024
4326,2018-10-03,1536,1024
10646,2018-10-23,1536,1024
11045,2018-11-02,1536,1024
11345,2018-11-12,1536,1024
11870,2018-11-22,1536,1024
11612,2018-12-02,1536,1024
1819,2019-01-01,1536,1024
4891,2019-01-21,1536,1024
1727,2019-02-20,1536,1024
498,2019-03-02,1536,1024
3956,2019-03-12,1536,1024
1127,2019-04-11,1536,1024
432,2019-04-21,1536,1024
1073,2019-05-01,1536,1024
4460,2019-05-11,1536,1024
6040,2019-05-21,1536,1024
7862,2019-06-10,1536,1024
8442,2019-06-20,1536,1024
9040,2019-06-30,1536,1024
9695,2019-07-20,1536,1024
9928,2019-07-30,1536,1024
9822,2019-08-09,1536,1024
379,2016-12-22,1536,1536
347,2017-01-01,1536,1536
132,2017-01-11,1536,1536
6,2017-02-10,1536,1536
172,2017-02-20,1536,1536
95,2017-03-02,1536,1536
47,2017-03-12,1536,1536
240,2017-04-01,1536,1536
