,tile,id,date,harvested,ndvi,cc_p80_perc,lat,lng
0,1536_1024,0,2016-12-22,1338,0.3762551416807288,0.5,-20.007904362551496,148.12722924128659
1,1536_1024,0,2017-01-01,2927,0.3200484238121318,39.6,-20.007904362551496,148.12722924128659
2,1536_1024,0,2017-01-11,386,0.3869965746745663,12.8,-20.007904362551496,148.12722924128659
3,1536_1024,0,2017-02-10,30,0.5332776847663561,12.9,-20.007904362551496,148.12722924128659
4,1536_1024,0,2017-02-20,227,0.4329362838686184,80.0,-20.007904362551496,148.12722924128659
5,1536_1024,0,2017-03-02,229,0.4916307841291514,11.5,-20.007904362551496,148.12722924128659
6,1536_1024,0,2017-03-12,302,0.5813757239996382,1.6,-20.007904362551496,148.12722924128659
7,1536_1024,0,2017-04-01,707,0.5458692407144178,0.0,-20.007904362551496,148.12722924128659
8,1536_1024,0,2017-04-11,354,0.5361739069005409,0.0,-20.007904362551496,148.12722924128659
9,1536_1024,0,2017-05-01,838,0.21252617073901192,51.0,-20.007904362551496,148.12722924128659
10,1536_1024,0,2017-05-11,1065,0.502146133511886,0.0,-20.007904362551496,148.12722924128659
11,1536_1024,0,2017-05-21,282,0.4367572963692167,3.2,-20.007904362551496,148.12722924128659
12,1536_1024,0,2017-05-31,1530,0.2327680553868393,93.0,-20.007904362551496,148.12722924128659
13,1536_1024,0,2017-06-20,1088,0.47475456335188,0.0,-20.007904362551496,148.12722924128659
14,1536_1024,0,2017-07-10,1136,0.34955218228519025,22.3,-20.007904362551496,148.12722924128659
15,1536_1024,0,2017-07-20,0,,0.0,-20.007904362551496,148.12722924128659
16,1536_1024,0,2017-07-30,3840,0.3596563470099342,0.0,-20.007904362551496,148.12722924128659
17,1536_1024,0,2017-08-09,4678,0.33890738172546786,0.2,-20.007904362551496,148.12722924128659
18,1536_1024,0,2017-08-19,5049,0.32478270451210384,0.0,-20.007904362551496,148.12722924128659
19,1536_1024,0,2017-09-08,7554,0.27915232190347805,0.0,-20.007904362551496,148.12722924128659
20,1536_1024,0,2017-09-18,8132,0.2486909733364797,8.0,-20.007904362551496,148.12722924128659
21,1536_1536,1,2016-12-22,379,0.4194330706509859,2.2,-20.054164336958948,148.12756494396905
