harvested,date,x,y
12692,2016-12-22,7680,10240
13704,2017-01-01,7680,10240
4254,2017-01-11,7680,10240
3298,2017-02-10,7680,10240
3644,2017-02-20,7680,10240
4002,2017-03-02,7680,10240
4959,2017-03-12,7680,10240
7144,2017-04-01,7680,10240
5438,2017-04-11,7680,10240
380,2017-05-01,7680,10240
8370,2017-05-11,7680,10240
7392,2017-05-21,7680,10240
8111,2017-05-31,7680,10240
17750,2017-06-20,7680,10240
33112,2017-07-10,7680,10240
44000,2017-07-20,7680,10240
36769,2017-07-30,7680,10240
61779,2017-08-09,7680,10240
68061,2017-08-19,7680,10240
96384,2017-09-08,7680,10240
52675,2017-09-18,7680,10240
114403,2017-09-28,7680,10240
108529,2017-10-08,7680,10240
40916,2017-10-28,7680,10240
18024,2017-11-07,7680,10240
1574,2017-11-17,7680,10240
7783,2017-11-27,7680,10240
10357,2017-12-07,7680,10240
7449,2017-12-17,7680,10240
9355,2017-12-27,7680,10240
5746,2018-01-06,7680,10240
6,2018-01-26,7680,10240
3169,2018-02-15,7680,10240
1521,2018-03-17,7680,10240
1493,2018-04-16,7680,10240
2359,2018-04-26,7680,10240
6896,2018-05-06,7680,10240
8854,2018-05-26,7680,10240
16936,2018-06-05,7680,10240
24134,2018-06-15,7680,10240
43083,2018-06-25,7680,10240
46333,2018-07-05,7680,10240
71410,2018-07-15,7680,10240
81036,2018-07-25,7680,10240
87932,2018-08-04,7680,10240
107374,2018-08-14,7680,10240
120832,2018-08-24,7680,10240
136964,2018-09-03,7680,10240
78122,2018-09-13,7680,10240
106811,2018-10-03,7680,10240
112360,2018-10-23,7680,10240
98347,2018-11-02,7680,10240
76256,2018-11-12,7680,10240
56256,2018-11-22,7680,10240
53121,2018-12-02,7680,10240
3653,2019-01-01,7680,10240
5216,2019-01-21,7680,10240
3059,2019-02-20,7680,10240
2115,2019-03-02,7680,10240
1838,2019-03-12,7680,10240
7054,2019-04-11,7680,10240
9366,2019-04-21,7680,10240
94,2019-05-01,7680,10240
5065,2019-05-11,7680,10240
346,2019-05-21,7680,10240
224,2019-06-10,7680,10240
23921,2019-06-20,7680,10240
33193,2019-06-30,7680,10240
41162,2019-07-20,7680,10240
45959,2019-07-30,7680,10240
58623,2019-08-09,7680,10240
